user_id,gender,age,artist,genre,interaction_date,play_count
1,Male,65-70,BTS,K-Pop,2021-04-27,41
1,Male,65-70,Justin Bieber,Pop,2021-06-02,2
1,Male,65-70,Adele,Pop,2021-03-30,1
1,Male,65-70,Ariana Grande,Pop,2024-10-30,109
1,Male,65-70,Ed Sheeran,Pop,2023-04-21,11
1,Male,65-70,The Weeknd,R&B,2021-01-20,6
1,Male,65-70,Bad Bunny,Reggaeton,2022-01-11,5
1,Male,65-70,Dua Lipa,Pop,2024-06-02,2
1,Male,65-70,Post Malone,Hip-Hop,2023-12-17,42
1,Male,65-70,Eminem,Hip-Hop,2022-06-19,16
1,Male,65-70,Doja Cat,Hip-Hop,2021-11-30,2
2,Female,35-39,Adele,Pop,2021-01-27,7
2,Female,35-39,Bad Bunny,Reggaeton,2020-08-29,6
2,Female,35-39,Olivia Rodrigo,Pop,2020-08-19,5
2,Female,35-39,BTS,K-Pop,2022-03-12,63
2,Female,35-39,Post Malone,Hip-Hop,2022-02-14,4
2,Female,35-39,Taylor Swift,Pop,2020-03-19,9
2,Female,35-39,The Beatles,Rock,2022-08-13,16
2,Female,35-39,Doja Cat,Hip-Hop,2021-08-03,20
2,Female,35-39,Billie Eilish,Pop,2023-12-10,6
2,Female,35-39,The Weeknd,R&B,2022-10-28,7
2,Female,35-39,Eminem,Hip-Hop,2022-04-24,9
2,Female,35-39,Dua Lipa,Pop,2024-02-15,22
2,Female,35-39,Ariana Grande,Pop,2021-10-25,13
2,Female,35-39,Harry Styles,Pop,2020-08-19,7
2,Female,35-39,Queen,Rock,2020-12-31,4
3,Male,25-29,Drake,Hip-Hop,2024-06-01,9
3,Male,25-29,The Beatles,Rock,2024-06-28,2
3,Male,25-29,Bad Bunny,Reggaeton,2020-07-08,11
3,Male,25-29,Ariana Grande,Pop,2022-02-05,64
3,Male,25-29,Ed Sheeran,Pop,2020-12-16,31
3,Male,25-29,Justin Bieber,Pop,2023-08-04,44
3,Male,25-29,Dua Lipa,Pop,2021-06-05,2
3,Male,25-29,Queen,Rock,2022-02-21,10
4,Male,65-70,Taylor Swift,Pop,2020-02-08,2
4,Male,65-70,Bruno Mars,Pop,2021-05-11,22
4,Male,65-70,Ariana Grande,Pop,2020-05-28,9
4,Male,65-70,The Beatles,Rock,2023-11-21,1
4,Male,65-70,Olivia Rodrigo,Pop,2021-10-24,10
5,Female,30-34,Justin Bieber,Pop,2021-11-26,36
5,Female,30-34,Post Malone,Hip-Hop,2020-01-23,3
5,Female,30-34,Dua Lipa,Pop,2021-02-16,9
5,Female,30-34,Taylor Swift,Pop,2023-07-28,8
5,Female,30-34,Bruno Mars,Pop,2023-02-25,3
5,Female,30-34,The Weeknd,R&B,2023-04-24,2
5,Female,30-34,Doja Cat,Hip-Hop,2024-08-06,5
5,Female,30-34,Bad Bunny,Reggaeton,2021-05-29,13
5,Female,30-34,Harry Styles,Pop,2021-03-24,15
5,Female,30-34,Olivia Rodrigo,Pop,2022-05-23,3
5,Female,30-34,Ariana Grande,Pop,2024-02-23,3
5,Female,30-34,The Beatles,Rock,2020-10-28,22
5,Female,30-34,Kendrick Lamar,Hip-Hop,2020-08-18,3
5,Female,30-34,Drake,Hip-Hop,2020-04-21,34
5,Female,30-34,Billie Eilish,Pop,2022-11-02,19
6,Male,25-29,Queen,Rock,2021-06-19,35
6,Male,25-29,BTS,K-Pop,2022-10-10,2
6,Male,25-29,The Beatles,Rock,2024-02-01,1
6,Male,25-29,Bruno Mars,Pop,2022-04-01,31
6,Male,25-29,Olivia Rodrigo,Pop,2022-12-16,1
6,Male,25-29,The Weeknd,R&B,2022-07-29,26
6,Male,25-29,Harry Styles,Pop,2021-05-30,8
6,Male,25-29,Ariana Grande,Pop,2023-05-29,3
6,Male,25-29,Eminem,Hip-Hop,2020-12-01,4
6,Male,25-29,Adele,Pop,2021-11-28,8
6,Male,25-29,Billie Eilish,Pop,2022-02-04,47
6,Male,25-29,Ed Sheeran,Pop,2021-06-19,48
6,Male,25-29,Dua Lipa,Pop,2020-06-07,20
7,Male,20-24,Queen,Rock,2021-04-20,13
7,Male,20-24,Doja Cat,Hip-Hop,2021-02-04,8
7,Male,20-24,Bruno Mars,Pop,2020-07-16,13
7,Male,20-24,BTS,K-Pop,2021-02-02,25
7,Male,20-24,Ed Sheeran,Pop,2024-09-29,13
7,Male,20-24,Harry Styles,Pop,2020-05-17,10
7,Male,20-24,Dua Lipa,Pop,2020-02-19,1
8,Female,40-44,Harry Styles,Pop,2020-09-17,6
8,Female,40-44,Olivia Rodrigo,Pop,2020-12-21,29
8,Female,40-44,Drake,Hip-Hop,2021-10-02,7
8,Female,40-44,Doja Cat,Hip-Hop,2022-03-02,43
8,Female,40-44,Bad Bunny,Reggaeton,2023-04-20,18
8,Female,40-44,Dua Lipa,Pop,2021-11-16,16
8,Female,40-44,Ed Sheeran,Pop,2024-04-15,2
9,Male,35-39,Doja Cat,Hip-Hop,2020-09-06,9
9,Male,35-39,Ed Sheeran,Pop,2021-11-20,1
9,Male,35-39,Bruno Mars,Pop,2024-03-22,16
9,Male,35-39,Adele,Pop,2021-11-02,6
9,Male,35-39,Taylor Swift,Pop,2024-11-18,5
9,Male,35-39,Kendrick Lamar,Hip-Hop,2022-08-01,2
9,Male,35-39,BTS,K-Pop,2020-07-17,8
9,Male,35-39,Billie Eilish,Pop,2022-06-14,23
10,Female,60-64,Doja Cat,Hip-Hop,2021-09-20,5
10,Female,60-64,Ed Sheeran,Pop,2020-11-22,3
10,Female,60-64,Bruno Mars,Pop,2021-08-20,3
10,Female,60-64,The Weeknd,R&B,2024-05-15,20
10,Female,60-64,Adele,Pop,2021-07-26,105
10,Female,60-64,Justin Bieber,Pop,2024-08-31,11
10,Female,60-64,Drake,Hip-Hop,2021-02-26,14
10,Female,60-64,Bad Bunny,Reggaeton,2022-08-23,10
10,Female,60-64,Dua Lipa,Pop,2024-02-26,45
10,Female,60-64,BTS,K-Pop,2022-05-02,2
10,Female,60-64,The Beatles,Rock,2024-03-20,1
10,Female,60-64,Taylor Swift,Pop,2021-03-10,4
10,Female,60-64,Harry Styles,Pop,2021-09-28,55
11,Female,55-59,Eminem,Hip-Hop,2021-09-19,10
11,Female,55-59,Dua Lipa,Pop,2021-08-26,3
11,Female,55-59,Bruno Mars,Pop,2022-05-30,35
11,Female,55-59,Bad Bunny,Reggaeton,2021-03-22,10
11,Female,55-59,The Beatles,Rock,2022-12-03,3
11,Female,55-59,Queen,Rock,2023-01-25,8
11,Female,55-59,Ed Sheeran,Pop,2021-11-09,26
11,Female,55-59,Drake,Hip-Hop,2023-12-30,4
11,Female,55-59,Billie Eilish,Pop,2023-12-21,1
11,Female,55-59,Olivia Rodrigo,Pop,2021-12-09,2
11,Female,55-59,Taylor Swift,Pop,2021-04-20,1
12,Male,65-70,Taylor Swift,Pop,2020-02-09,9
12,Male,65-70,Olivia Rodrigo,Pop,2022-10-11,94
12,Male,65-70,Adele,Pop,2022-10-20,8
12,Male,65-70,The Beatles,Rock,2021-11-18,28
12,Male,65-70,Eminem,Hip-Hop,2024-06-30,3
12,Male,65-70,Ariana Grande,Pop,2020-12-31,20
12,Male,65-70,Justin Bieber,Pop,2024-11-16,3
12,Male,65-70,BTS,K-Pop,2023-02-26,3
12,Male,65-70,The Weeknd,R&B,2021-07-28,23
12,Male,65-70,Kendrick Lamar,Hip-Hop,2021-10-31,2
12,Male,65-70,Post Malone,Hip-Hop,2020-09-25,7
12,Male,65-70,Ed Sheeran,Pop,2020-05-10,10
12,Male,65-70,Queen,Rock,2020-12-18,3
13,Male,25-29,Bad Bunny,Reggaeton,2024-10-17,1
13,Male,25-29,Queen,Rock,2023-06-03,21
13,Male,25-29,Post Malone,Hip-Hop,2024-12-26,8
13,Male,25-29,Harry Styles,Pop,2022-09-12,8
13,Male,25-29,Taylor Swift,Pop,2023-05-26,4
13,Male,25-29,Olivia Rodrigo,Pop,2020-07-08,5
13,Male,25-29,Doja Cat,Hip-Hop,2021-06-29,4
13,Male,25-29,The Beatles,Rock,2020-02-10,38
14,Male,30-34,Olivia Rodrigo,Pop,2020-01-01,11
14,Male,30-34,Dua Lipa,Pop,2022-08-25,2
14,Male,30-34,Harry Styles,Pop,2020-05-22,17
14,Male,30-34,Post Malone,Hip-Hop,2023-04-29,5
14,Male,30-34,Kendrick Lamar,Hip-Hop,2021-04-04,31
14,Male,30-34,Ed Sheeran,Pop,2023-11-25,4
14,Male,30-34,Adele,Pop,2022-04-24,15
15,Female,25-29,The Beatles,Rock,2021-02-27,14
15,Female,25-29,Justin Bieber,Pop,2024-10-16,10
15,Female,25-29,Kendrick Lamar,Hip-Hop,2021-10-23,8
15,Female,25-29,Adele,Pop,2022-08-04,4
15,Female,25-29,Dua Lipa,Pop,2022-06-17,15
15,Female,25-29,BTS,K-Pop,2022-09-06,15
16,Female,45-49,Queen,Rock,2024-10-28,13
16,Female,45-49,The Beatles,Rock,2020-02-10,15
16,Female,45-49,Ariana Grande,Pop,2024-09-27,3
16,Female,45-49,Ed Sheeran,Pop,2024-06-09,5
16,Female,45-49,Olivia Rodrigo,Pop,2024-07-13,16
16,Female,45-49,Justin Bieber,Pop,2024-08-20,15
16,Female,45-49,Post Malone,Hip-Hop,2020-09-24,3
16,Female,45-49,BTS,K-Pop,2023-09-10,7
16,Female,45-49,Eminem,Hip-Hop,2023-08-20,23
16,Female,45-49,Taylor Swift,Pop,2022-10-09,10
16,Female,45-49,Bruno Mars,Pop,2023-05-09,23
17,Male,45-49,Post Malone,Hip-Hop,2020-06-27,30
17,Male,45-49,BTS,K-Pop,2020-05-11,5
17,Male,45-49,Doja Cat,Hip-Hop,2022-02-10,3
17,Male,45-49,Justin Bieber,Pop,2023-11-30,10
17,Male,45-49,Billie Eilish,Pop,2020-12-12,3
17,Male,45-49,Kendrick Lamar,Hip-Hop,2022-08-08,2
17,Male,45-49,Queen,Rock,2024-10-11,18
17,Male,45-49,Eminem,Hip-Hop,2021-07-26,5
17,Male,45-49,Dua Lipa,Pop,2024-07-29,4
17,Male,45-49,The Weeknd,R&B,2024-01-30,7
17,Male,45-49,Bad Bunny,Reggaeton,2023-12-18,5
17,Male,45-49,Olivia Rodrigo,Pop,2020-05-21,1
17,Male,45-49,Adele,Pop,2024-09-08,1
18,Male,55-59,Dua Lipa,Pop,2024-12-05,15
18,Male,55-59,Queen,Rock,2024-04-01,4
18,Male,55-59,Doja Cat,Hip-Hop,2022-05-05,17
18,Male,55-59,Bruno Mars,Pop,2020-07-01,20
18,Male,55-59,Ariana Grande,Pop,2022-11-30,8
18,Male,55-59,Ed Sheeran,Pop,2020-05-06,6
18,Male,55-59,The Weeknd,R&B,2024-04-30,4
18,Male,55-59,Adele,Pop,2020-01-19,5
18,Male,55-59,Eminem,Hip-Hop,2023-09-17,2
18,Male,55-59,Billie Eilish,Pop,2023-02-06,10
19,Other,20-24,The Weeknd,R&B,2024-08-09,15
19,Other,20-24,Queen,Rock,2023-02-10,22
19,Other,20-24,Justin Bieber,Pop,2024-10-26,66
19,Other,20-24,Ariana Grande,Pop,2020-02-10,1
19,Other,20-24,Doja Cat,Hip-Hop,2024-11-28,3
20,Male,60-64,Billie Eilish,Pop,2020-10-22,7
20,Male,60-64,Justin Bieber,Pop,2020-09-14,3
20,Male,60-64,Doja Cat,Hip-Hop,2021-02-22,7
20,Male,60-64,Taylor Swift,Pop,2020-08-22,6
20,Male,60-64,Bruno Mars,Pop,2022-09-12,107
20,Male,60-64,Harry Styles,Pop,2023-10-12,4
20,Male,60-64,The Beatles,Rock,2020-08-10,8
20,Male,60-64,Drake,Hip-Hop,2022-07-09,2
20,Male,60-64,Olivia Rodrigo,Pop,2024-12-24,17
20,Male,60-64,Queen,Rock,2020-10-03,26
20,Male,60-64,Dua Lipa,Pop,2021-09-02,3
20,Male,60-64,The Weeknd,R&B,2023-12-23,43
20,Male,60-64,Ariana Grande,Pop,2024-07-15,2
21,Male,30-34,Billie Eilish,Pop,2023-05-04,2
21,Male,30-34,Eminem,Hip-Hop,2023-05-10,6
21,Male,30-34,Queen,Rock,2024-01-07,11
21,Male,30-34,Bad Bunny,Reggaeton,2021-01-29,26
21,Male,30-34,Ed Sheeran,Pop,2022-03-27,4
21,Male,30-34,Taylor Swift,Pop,2024-01-03,25
22,Male,45-49,Kendrick Lamar,Hip-Hop,2024-05-05,8
22,Male,45-49,Justin Bieber,Pop,2021-04-29,1
22,Male,45-49,Doja Cat,Hip-Hop,2020-05-01,5
22,Male,45-49,Dua Lipa,Pop,2024-09-27,14
22,Male,45-49,Olivia Rodrigo,Pop,2022-02-24,5
22,Male,45-49,The Weeknd,R&B,2022-10-04,1
22,Male,45-49,Post Malone,Hip-Hop,2023-07-25,1
22,Male,45-49,Bruno Mars,Pop,2020-10-31,2
22,Male,45-49,Eminem,Hip-Hop,2021-11-04,8
22,Male,45-49,Ariana Grande,Pop,2020-12-08,4
23,Female,50-54,Queen,Rock,2022-05-15,3
23,Female,50-54,The Weeknd,R&B,2020-09-29,1
23,Female,50-54,Doja Cat,Hip-Hop,2023-01-27,5
23,Female,50-54,Harry Styles,Pop,2024-11-19,9
23,Female,50-54,BTS,K-Pop,2024-08-14,18
23,Female,50-54,Dua Lipa,Pop,2021-06-03,2
23,Female,50-54,Bad Bunny,Reggaeton,2023-07-31,12
24,Male,15-19,Dua Lipa,Pop,2024-11-06,10
24,Male,15-19,Ariana Grande,Pop,2022-03-30,7
24,Male,15-19,Kendrick Lamar,Hip-Hop,2024-11-20,9
24,Male,15-19,Post Malone,Hip-Hop,2023-06-05,21
24,Male,15-19,Harry Styles,Pop,2023-05-24,2
24,Male,15-19,Taylor Swift,Pop,2021-02-10,3
24,Male,15-19,Bruno Mars,Pop,2022-01-30,9
24,Male,15-19,Queen,Rock,2021-05-13,1
24,Male,15-19,Olivia Rodrigo,Pop,2022-08-31,21
25,Male,50-54,Post Malone,Hip-Hop,2021-03-18,9
25,Male,50-54,The Weeknd,R&B,2023-02-11,15
25,Male,50-54,Ed Sheeran,Pop,2021-04-24,3
25,Male,50-54,Billie Eilish,Pop,2020-11-15,7
25,Male,50-54,Bad Bunny,Reggaeton,2020-05-05,21
25,Male,50-54,The Beatles,Rock,2024-08-31,21
25,Male,50-54,BTS,K-Pop,2024-08-14,12
25,Male,50-54,Justin Bieber,Pop,2024-10-23,9
25,Male,50-54,Taylor Swift,Pop,2023-08-19,41
25,Male,50-54,Bruno Mars,Pop,2022-06-29,24
25,Male,50-54,Harry Styles,Pop,2024-04-21,1
25,Male,50-54,Dua Lipa,Pop,2020-09-13,11
25,Male,50-54,Ariana Grande,Pop,2024-08-26,12
25,Male,50-54,Adele,Pop,2024-04-07,3
25,Male,50-54,Olivia Rodrigo,Pop,2023-07-12,10
26,Female,40-44,Dua Lipa,Pop,2020-07-02,11
26,Female,40-44,Post Malone,Hip-Hop,2020-04-20,3
26,Female,40-44,Queen,Rock,2024-01-14,11
26,Female,40-44,Billie Eilish,Pop,2022-06-22,5
26,Female,40-44,Olivia Rodrigo,Pop,2024-05-09,3
26,Female,40-44,Taylor Swift,Pop,2022-11-16,4
27,Male,30-34,Post Malone,Hip-Hop,2024-01-19,65
27,Male,30-34,Ed Sheeran,Pop,2024-05-08,2
27,Male,30-34,Drake,Hip-Hop,2022-11-03,9
27,Male,30-34,Bruno Mars,Pop,2023-04-16,4
27,Male,30-34,Eminem,Hip-Hop,2021-02-11,17
27,Male,30-34,The Weeknd,R&B,2022-04-26,12
27,Male,30-34,Harry Styles,Pop,2023-05-13,21
27,Male,30-34,Queen,Rock,2022-12-18,116
27,Male,30-34,BTS,K-Pop,2024-07-12,3
27,Male,30-34,Justin Bieber,Pop,2023-08-06,17
28,Male,20-24,Ariana Grande,Pop,2024-08-01,3
28,Male,20-24,Drake,Hip-Hop,2021-09-24,22
28,Male,20-24,Billie Eilish,Pop,2024-08-24,1
